None * 80
BufferLevel with seed=8261936165861399214, obst=0.12786922671610734, slab=0.03999749886970593, stairs=0.043614791531658884, stump=0.02814742007141692, gap=0.0693507083696217, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5443612970503025072, obst=0.13648343504049104, slab=0.026941671422309917, stairs=0.06085104225618745, stump=0.056059517613318864, gap=0.05769524967088351, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6085605769704382307, obst=0.3008579500961143, slab=0.012212359892904527, stairs=0.021311815261361715, stump=0.0724970720833635, gap=0.07751761903499413, regret=None, learnability=None, succ_r=None
BufferLevel with seed=9031880699969685292, obst=0.13358801607648046, slab=0.013909151384801331, stairs=0.06877700492557136, stump=0.05207440811634919, gap=0.0856392978242763, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2819766519884576173, obst=0.0549215693724958, slab=0.035854389770715846, stairs=0.015687887624597982, stump=0.06253920724899328, gap=0.03728509818747003, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2973362124323066636, obst=0.054305806976437374, slab=0.052303589563044754, stairs=0.04592255366429327, stump=0.09755371850096259, gap=0.06407668033401448, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1740582888346070117, obst=0.058145059234899585, slab=0.025745825132762648, stairs=0.053960223171277744, stump=0.08332416515000994, gap=0.08761461703888616, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3720401961588373599, obst=0.3387258397751938, slab=0.04886382450100172, stairs=0.06826625138187543, stump=0.034966160688038074, gap=0.06436293476639043, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1084810292539398828, obst=0.39648460615342407, slab=0.0481290907018982, stairs=0.0609959580223133, stump=0.03446009421351812, gap=0.07818153562710439, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3361829699190608480, obst=0.3653258020255032, slab=0.03229370333606046, stairs=0.029259529411799955, stump=0.08579716055977944, gap=0.046766128133672424, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3829073596285139152, obst=0.251430358071397, slab=0.050362395503744606, stairs=0.05487658568637191, stump=0.051866504746758406, gap=0.011433519433762957, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5025453082493975155, obst=0.19796592763213927, slab=0.06764453616318152, stairs=0.016475253517772168, stump=0.013423047429961341, gap=0.050185543505021406, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5548670753850457542, obst=0.20428570422636416, slab=0.010611033092502317, stairs=0.04988262259851625, stump=0.05951865118034073, gap=0.061301819389455406, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2005051031714783880, obst=0.10554849212453203, slab=0.032326925390830145, stairs=0.05801182620323885, stump=0.09993042349933391, gap=0.05515903708210043, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6943710835671069661, obst=0.0, slab=0.06475530497411408, stairs=0.06686552127831216, stump=0.07594851186415266, gap=0.01428846438029908, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3516963401787574376, obst=0.23736907806921448, slab=0.0575037095413883, stairs=0.021086484929812396, stump=0.05929569532546267, gap=0.01038179570319596, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4075844467625381179, obst=0.3444741132247087, slab=0.023176500096162643, stairs=0.03858131623472232, stump=0.04973515381531102, gap=0.06929966299632645, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6610069983047005999, obst=0.11395326386380221, slab=0.04486676555338336, stairs=0.03569410066176738, stump=0.06168040332501998, gap=0.06861928860853311, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7400427238187292596, obst=0.0, slab=0.012526040250328005, stairs=0.012957843477782414, stump=0.04465643179742638, gap=0.08710691803597745, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6558004286104037498, obst=0.33207919770385197, slab=0.02768015230020139, stairs=0.02592192293038941, stump=0.01608458114406555, gap=0.015893575596279116, regret=0.038813892751932144, learnability=0.2441360279198117, succ_r=0.42342342342342343

---------------------------------------

None * 79
BufferLevel with seed=8261936165861399214, obst=0.12786922671610734, slab=0.03999749886970593, stairs=0.043614791531658884, stump=0.02814742007141692, gap=0.0693507083696217, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6085605769704382307, obst=0.3008579500961143, slab=0.012212359892904527, stairs=0.021311815261361715, stump=0.0724970720833635, gap=0.07751761903499413, regret=None, learnability=None, succ_r=None
BufferLevel with seed=9031880699969685292, obst=0.13358801607648046, slab=0.013909151384801331, stairs=0.06877700492557136, stump=0.05207440811634919, gap=0.0856392978242763, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2819766519884576173, obst=0.0549215693724958, slab=0.035854389770715846, stairs=0.015687887624597982, stump=0.06253920724899328, gap=0.03728509818747003, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1740582888346070117, obst=0.058145059234899585, slab=0.025745825132762648, stairs=0.053960223171277744, stump=0.08332416515000994, gap=0.08761461703888616, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1084810292539398828, obst=0.39648460615342407, slab=0.0481290907018982, stairs=0.0609959580223133, stump=0.03446009421351812, gap=0.07818153562710439, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3361829699190608480, obst=0.3653258020255032, slab=0.03229370333606046, stairs=0.029259529411799955, stump=0.08579716055977944, gap=0.046766128133672424, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3829073596285139152, obst=0.251430358071397, slab=0.050362395503744606, stairs=0.05487658568637191, stump=0.051866504746758406, gap=0.011433519433762957, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5025453082493975155, obst=0.19796592763213927, slab=0.06764453616318152, stairs=0.016475253517772168, stump=0.013423047429961341, gap=0.050185543505021406, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5548670753850457542, obst=0.20428570422636416, slab=0.010611033092502317, stairs=0.04988262259851625, stump=0.05951865118034073, gap=0.061301819389455406, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2005051031714783880, obst=0.10554849212453203, slab=0.032326925390830145, stairs=0.05801182620323885, stump=0.09993042349933391, gap=0.05515903708210043, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4075844467625381179, obst=0.3444741132247087, slab=0.023176500096162643, stairs=0.03858131623472232, stump=0.04973515381531102, gap=0.06929966299632645, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6610069983047005999, obst=0.11395326386380221, slab=0.04486676555338336, stairs=0.03569410066176738, stump=0.06168040332501998, gap=0.06861928860853311, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7400427238187292596, obst=0.0, slab=0.012526040250328005, stairs=0.012957843477782414, stump=0.04465643179742638, gap=0.08710691803597745, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5443612970503025072, obst=0.13648343504049104, slab=0.026941671422309917, stairs=0.06085104225618745, stump=0.056059517613318864, gap=0.05769524967088351, regret=0.03427610173821449, learnability=0.2411000355998576, succ_r=0.4056603773584906
BufferLevel with seed=6558004286104037498, obst=0.33207919770385197, slab=0.02768015230020139, stairs=0.02592192293038941, stump=0.01608458114406555, gap=0.015893575596279116, regret=0.038813892751932144, learnability=0.2441360279198117, succ_r=0.42342342342342343
BufferLevel with seed=5443612970503025072, obst=0.18050534642683058, slab=0.026941671422309917, stairs=0.08484495391138829, stump=0.11889786326699325, gap=0.05769524967088351, regret=0.03755475953221321, learnability=0.24691358024691357, succ_r=0.5555555555555556
BufferLevel with seed=2973362124323066636, obst=0.054305806976437374, slab=0.052303589563044754, stairs=0.04592255366429327, stump=0.09755371850096259, gap=0.06407668033401448, regret=0.03256705775856972, learnability=0.2485760056959772, succ_r=0.46226415094339623
BufferLevel with seed=3516963401787574376, obst=0.23736907806921448, slab=0.0575037095413883, stairs=0.021086484929812396, stump=0.05929569532546267, gap=0.01038179570319596, regret=0.027844121679663658, learnability=0.2494331065759637, succ_r=0.47619047619047616
BufferLevel with seed=6943710835671069661, obst=0.0, slab=0.06475530497411408, stairs=0.06686552127831216, stump=0.07594851186415266, gap=0.01428846438029908, regret=0.0278707817196846, learnability=0.24976086725475607, succ_r=0.5154639175257731
