None * 160
BufferLevel with seed=4042419207845861155, obst=0.0006502686632413428, slab=0.04889019363529517, stairs=0.04365283074089491, stump=0.03172134303175061, gap=0.021128732287154006, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4617114785035385206, obst=0.0, slab=0.025652701845499983, stairs=0.028389495188534127, stump=0.014527237136530813, gap=0.04003614523116336, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6009201263574044013, obst=0.0, slab=0.04213203909399217, stairs=0.02432880961002115, stump=0.02224871737859633, gap=0.020730566886459023, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5774157927115915109, obst=0.014809484190302955, slab=0.04772972892517909, stairs=0.036147639095234656, stump=0.03561940180328255, gap=0.03183759262882177, regret=None, learnability=None, succ_r=None
BufferLevel with seed=680175444689636524, obst=0.010863463682359659, slab=0.03333115799945479, stairs=0.037388917693920436, stump=0.027532145380843004, gap=0.03586408303034894, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6190862471635471689, obst=0.004468663748568916, slab=0.04947866709854973, stairs=0.011280496378559712, stump=0.0284202467493632, gap=0.007201778196949122, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2418516840789786335, obst=0.0, slab=0.03282078254159266, stairs=0.009652361350016764, stump=0.047666884549229876, gap=0.018961810784340772, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4163754291782106106, obst=0.0, slab=0.04534530552709359, stairs=0.022076629858112547, stump=0.027071288878967092, gap=0.02475299692580254, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5694555827749477079, obst=0.028173373833770183, slab=0.045330139045867746, stairs=0.04242388635856652, stump=0.009024118251642427, gap=0.019726983553283114, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1190259256290870216, obst=0.0, slab=0.021800123138320728, stairs=0.04457604876564115, stump=0.010781183922832956, gap=0.038058112853328156, regret=None, learnability=None, succ_r=None
BufferLevel with seed=897965908755633556, obst=0.0, slab=0.013717161769783015, stairs=0.04212856394995089, stump=0.011974613189706147, gap=0.040473115208744435, regret=None, learnability=None, succ_r=None
BufferLevel with seed=8522054592334262318, obst=0.03623613530313742, slab=0.001298711763674393, stairs=0.0027749767181449226, stump=0.00474985053476108, gap=0.025104132376200766, regret=None, learnability=None, succ_r=None
BufferLevel with seed=249366978781769398, obst=0.0, slab=0.016270932214822394, stairs=0.014538938384135086, stump=0.02814565211329277, gap=0.0016652397670434693, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1706562066134299509, obst=0.025592636887802448, slab=0.048800021167476726, stairs=0.016547788457199987, stump=0.048966774156968484, gap=0.0413112077337096, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4359596756603396338, obst=0.01481860397560596, slab=0.008485163274230557, stairs=0.020406883478526785, stump=0.012730656877468445, gap=0.034497671706194735, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7175411917236915848, obst=0.0, slab=0.010859238702985574, stairs=0.02038168292291316, stump=0.01980000611209794, gap=0.01623010319444077, regret=None, learnability=None, succ_r=None
BufferLevel with seed=10783073269613395, obst=0.01149468968117923, slab=0.038105905269812064, stairs=0.02620272043674395, stump=0.00678758897071547, gap=0.020281852710513495, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7402091362284838942, obst=0.008315450279117335, slab=0.011035191963085595, stairs=0.02571092649161833, stump=0.015098522851179776, gap=0.01037951212374193, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6000118796161213635, obst=0.038457868782135585, slab=0.04378138203685301, stairs=0.040711725630889, stump=0.02053636976314879, gap=0.030371849155720516, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1990403250590149249, obst=0.026487547904813117, slab=0.011729918849709127, stairs=0.046169003868708904, stump=0.000864004281546088, gap=0.015160444636025845, regret=None, learnability=None, succ_r=None
