None * 160
BufferLevel with seed=4361017119688718412, obst=0.17643227084598945, slab=0.07323907367285618, stairs=0.0020768385385948386, stump=0.09574631070618676, gap=0.13947714683504497, regret=None, learnability=None, succ_r=None
BufferLevel with seed=147567362322470199, obst=0.015906393270463004, slab=0.08408834577670177, stairs=0.0972828156329908, stump=0.12355184051938453, gap=0.1394770725846156, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3845987982094580961, obst=0.037994480051574464, slab=0.09816423492150556, stairs=0.05734217648212987, stump=0.03759392847353993, gap=0.0830407719241631, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5764960321139558100, obst=0.4479003718116544, slab=0.009597933913574098, stairs=0.0052370237273516645, stump=0.07239211613841358, gap=0.08495889280288431, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6887003145583664461, obst=0.19456488206357825, slab=0.0427432979036579, stairs=0.05450389415706289, stump=0.004688556899027779, gap=0.1235068704590806, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2088275504970899086, obst=0.49213960332241774, slab=0.015577076482117603, stairs=0.041147044808496375, stump=0.027037802851206164, gap=0.14226904923689057, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2841574860219296874, obst=0.16638046098595222, slab=0.06432962919355802, stairs=0.05520969821822607, stump=0.08543894213891286, gap=0.005617554150110493, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1647259704258618600, obst=0.3406459199160844, slab=0.078206538464601, stairs=0.06610270889309693, stump=0.040106274865806237, gap=0.07776856713481584, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4333960666119946198, obst=0.2851649311644351, slab=0.03443505305603361, stairs=0.04078552555669838, stump=0.010884545011764363, gap=0.0755286738501174, regret=None, learnability=None, succ_r=None
BufferLevel with seed=8524645656236958886, obst=0.4698880152508555, slab=0.07352894782804102, stairs=0.08827673070730109, stump=0.083329770163538, gap=0.06117698144669226, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2311911479248035498, obst=0.3299268035010138, slab=0.09236087237477777, stairs=0.036234735109110995, stump=0.13546513750405173, gap=0.10391135018964535, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6197965780633592532, obst=0.3545777643169464, slab=0.018071052988708758, stairs=0.03748289811139212, stump=0.026493646767330157, gap=0.009304480597494585, regret=None, learnability=None, succ_r=None
